accum_day,DHBFH
2016Jul271,12
2016Jul27nan,0
2016Jul281,12
2016Jul28nan,0
2016Jul291,12
2016Jul29nan,0
2016Jul2nan,0
2016Jul301,12
2016Jul30nan,0
2016Jul31,13
2016Jul311,12
2016Jul31nan,0
2016Jul3nan,0
2016Jul41,13
2016Jul4nan,0
2016Jul51,13
2016Jul5nan,0
2016Jul61,13
2016Jul6nan,0
2016Jul71,13
2016Jul7nan,0
2016Jul81,13
2016Jul8nan,0
2016Jul91,13
2016Jul9nan,0
2016Jun101,13
2016Jun10nan,0
2016Jun11,13
2016Jun111,13
2016Jun11nan,0
2016Jun121,13
2016Jun12nan,0
2016Jun131,13
2016Jun13nan,0
2016Jun141,13
2016Jun14nan,0
2016Jun151,13
2016Jun15nan,0
2016Jun161,11
2016Jun16nan,0
2016Jun171,13
2016Jun17nan,0
2016Jun181,13
2016Jun18nan,0
2016Jun191,13
2016Jun19nan,0
2016Jun1nan,0
2016Jun201,13
2016Jun20nan,0
2016Jun21,13
2016Jun211,13
2016Jun21nan,0
2016Jun221,13
2016Jun22nan,0
2016Jun231,13
2016Jun23nan,0
2016Jun241,13
2016Jun24nan,0
2016Jun251,13
2016Jun25nan,0
2016Jun261,13
2016Jun26nan,0
2016Jun271,13
2016Jun27nan,0
2016Jun281,13
2016Jun28nan,0
2016Jun291,13
2016Jun29nan,0
2016Jun2nan,0
2016Jun301,13
2016Jun30nan,0
2016Jun31,13
2016Jun3nan,0
2016Jun41,13
2016Jun4nan,0
2016Jun51,13
2016Jun5nan,0
2016Jun61,13
2016Jun6nan,0
2016Jun71,13
2016Jun7nan,0
2016Jun81,13
2016Jun8nan,0
2016Jun91,13
2016Jun9nan,0
2016Mar101,3
2016Mar10nan,0
2016Mar11,3
2016Mar111,9
2016Mar11nan,0
2016Mar12nan,0
2016Mar131,1
2016Mar13nan,0
2016Mar141,5
2016Mar14nan,0
2016Mar151,1
2016Mar15nan,0
2016Mar161,2
2016Mar16nan,0
2016Mar171,3
2016Mar17nan,0
2016Mar181,4
2016Mar18nan,0
2016Mar191,7
2016Mar19nan,0
2016Mar1nan,0
2016Mar201,8
2016Mar20nan,0
2016Mar21,1
2016Mar211,11
2016Mar21nan,0
2016Mar221,2
2016Mar22nan,0
2016Mar231,1
2016Mar23nan,0
2016Mar241,2
2016Mar24nan,0
2016Mar251,5
2016Mar25nan,0
2016Mar261,5
2016Mar26nan,0
2016Mar271,6
2016Mar27nan,0
2016Mar281,4
2016Mar28nan,0
2016Mar29nan,0
2016Mar2nan,0
2016Mar301,2
2016Mar30nan,0
2016Mar31,3
2016Mar311,4
2016Mar31nan,0
2016Mar3nan,0
2016Mar41,5
2016Mar4nan,0
2016Mar51,9
2016Mar5nan,0
2016Mar61,6
2016Mar6nan,0
2016Mar7nan,0
2016Mar8nan,0
2016Mar9nan,0
2016May101,12
2016May10nan,0
2016May11,11
2016May111,12
2016May11nan,0
2016May121,12
2016May12nan,0
2016May131,12
2016May13nan,0
2016May141,12
2016May14nan,0
2016May151,13
2016May15nan,0
2016May161,13
2016May16nan,0
2016May171,13
2016May17nan,0
2016May181,13
2016May18nan,0
2016May191,13
2016May19nan,0
2016May1nan,0
2016May201,13
2016May20nan,0
2016May21,11
2016May211,4
2016May21nan,0
2016May221,7
2016May22nan,0
2016May231,9
2016May23nan,0
2016May241,13
2016May24nan,0
2016May251,13
2016May25nan,0
2016May261,13
2016May26nan,0
2016May271,13
2016May27nan,0
2016May281,13
2016May28nan,0
2016May291,13
2016May29nan,0
2016May2nan,0
2016May301,13
2016May30nan,0
2016May31,11
2016May311,13
2016May31nan,0
2016May3nan,0
2016May41,11
2016May4nan,0
2016May51,12
2016May5nan,0
2016May61,12
2016May6nan,0
2016May71,12
2016May7nan,0
2016May81,9
2016May8nan,0
2016May91,12
2016May9nan,0
2016Nov101,5
2016Nov10nan,0
2016Nov11,6
2016Nov111,8
2016Nov11nan,0
2016Nov121,8
2016Nov12nan,0
2016Nov131,1
2016Nov13nan,0
2016Nov141,1
2016Nov14nan,0
2016Nov151,1
2016Nov15nan,0
2016Nov161,8
2016Nov16nan,0
2016Nov17nan,0
2016Nov18nan,0
2016Nov19nan,0
2016Nov1nan,0
2016Nov20nan,0
2016Nov21,1
2016Nov21nan,0
2016Nov22nan,0
2016Nov23nan,0
2016Nov24nan,0
2016Nov25nan,0
2016Nov26nan,0
2016Nov27nan,0
2016Nov28nan,0
2016Nov29nan,0
2016Nov2nan,0
2016Nov30nan,0
2016Nov3nan,0
2016Nov4nan,0
2016Nov51,3
2016Nov5nan,0
2016Nov61,3
2016Nov6nan,0
2016Nov71,3
2016Nov7nan,0
2016Nov81,3
2016Nov8nan,0
2016Nov91,4
2016Nov9nan,0
2016Oct101,9
2016Oct10nan,0
2016Oct11,10
2016Oct111,9
2016Oct11nan,0
2016Oct121,6
2016Oct12nan,0
2016Oct131,9
2016Oct13nan,0
2016Oct141,9
2016Oct14nan,0
2016Oct151,9
2016Oct15nan,0
2016Oct161,9
2016Oct16nan,0
2016Oct171,9
2016Oct17nan,0
2016Oct181,5
2016Oct18nan,0
2016Oct191,1
2016Oct19nan,0
2016Oct1nan,0
2016Oct201,3
2016Oct20nan,0
2016Oct21,6
2016Oct211,5
2016Oct21nan,0
2016Oct221,6
2016Oct22nan,0
2016Oct231,9
2016Oct23nan,0
2016Oct241,9
2016Oct24nan,0
2016Oct251,9
2016Oct25nan,0
2016Oct261,6
2016Oct26nan,0
2016Oct271,9
2016Oct27nan,0
2016Oct281,9
2016Oct28nan,0
2016Oct291,9
2016Oct29nan,0
2016Oct2nan,0
2016Oct301,9
2016Oct30nan,0
2016Oct31,6
2016Oct311,2
2016Oct31nan,0
2016Oct3nan,0
2016Oct41,3
2016Oct4nan,0
2016Oct51,4
2016Oct5nan,0
2016Oct61,4
2016Oct6nan,0
2016Oct71,6
2016Oct7nan,0
2016Oct81,9
2016Oct8nan,0
2016Oct91,9
2016Oct9nan,0
2016Sep101,11
2016Sep10nan,0
2016Sep11,11
2016Sep111,11
2016Sep11nan,0
2016Sep121,11
2016Sep12nan,0
2016Sep131,9
2016Sep13nan,0
2016Sep141,11
2016Sep14nan,0
2016Sep151,11
2016Sep15nan,0
2016Sep161,11
2016Sep16nan,0
2016Sep171,11
2016Sep17nan,0
2016Sep181,11
2016Sep18nan,0
2016Sep191,10
2016Sep19nan,0
2016Sep1nan,0
2016Sep201,10
2016Sep20nan,0
2016Sep21,11
2016Sep211,10
2016Sep21nan,0
2016Sep221,8
2016Sep22nan,0
2016Sep231,6
2016Sep23nan,0
2016Sep241,10
2016Sep24nan,0
2016Sep251,10
2016Sep25nan,0
2016Sep261,10
2016Sep26nan,0
2016Sep271,10
2016Sep27nan,0
2016Sep281,10
2016Sep28nan,0
2016Sep291,10
2016Sep29nan,0
2016Sep2nan,0
2016Sep301,10
2016Sep30nan,0
2016Sep31,11
2016Sep3nan,0
2016Sep41,11
2016Sep4nan,0
2016Sep51,11
2016Sep5nan,0
2016Sep61,11
2016Sep6nan,0
2016Sep71,11
2016Sep7nan,0
2016Sep81,11
2016Sep8nan,0
2016Sep91,11
2016Sep9nan,0
